No	TMNo	EnNo	Name	GMNo	Mode	DateTime
30475	1	4		1	30	2014-03-31 17:36:31
30476	1	64		1	30	2014-03-31 17:36:38
30477	1	70		1	30	2014-03-31 17:36:49
30478	1	53		1	30	2014-03-31 17:36:52
30479	1	72		1	30	2014-03-31 17:36:55
30480	1	43		1	30	2014-03-31 17:38:59
30481	1	63		1	30	2014-03-31 17:39:07
30482	1	10		1	30	2014-03-31 17:39:12
30483	1	35		1	30	2014-03-31 17:39:14
30484	1	45		1	30	2014-03-31 17:39:17
30485	1	6		1	30	2014-03-31 17:39:26
30486	1	52		1	30	2014-03-31 17:41:30
30487	1	49		1	30	2014-03-31 17:44:16
30488	1	54		1	30	2014-03-31 17:46:05
30489	1	71		1	30	2014-03-31 17:46:59
30490	1	30		1	30	2014-03-31 17:51:02
30491	1	65		1	30	2014-03-31 17:51:44
30492	1	18		1	30	2014-03-31 17:55:16
30493	1	61		1	30	2014-03-31 17:55:56
30494	1	38		1	30	2014-03-31 17:58:35
30495	1	19		1	30	2014-03-31 17:59:11
30496	1	59		1	30	2014-03-31 19:01:46
30497	1	33		1	30	2014-03-31 21:31:03
30498	1	61		1	30	2014-04-01 07:31:17
30499	1	3		1	30	2014-04-01 07:35:55
30500	1	30		1	30	2014-04-01 07:35:58
30501	1	10		1	30	2014-04-01 07:36:00
30502	1	24		1	30	2014-04-01 07:36:02
30503	1	35		1	30	2014-04-01 07:36:04
30504	1	14		1	30	2014-04-01 07:36:10
30505	1	45		1	30	2014-04-01 07:36:16
30506	1	5		1	30	2014-04-01 07:37:21
30507	1	7		1	30	2014-04-01 07:37:24
30508	1	38		1	30	2014-04-01 07:37:26
30509	1	2		1	30	2014-04-01 07:37:29
30510	1	60		1	30	2014-04-01 07:37:33
30511	1	71		1	30	2014-04-01 07:37:38
30512	1	37		1	30	2014-04-01 07:38:32
30513	1	21		1	30	2014-04-01 07:38:34
30514	1	20		1	30	2014-04-01 07:38:37
30515	1	19		1	30	2014-04-01 07:38:40
30516	1	53		1	30	2014-04-01 07:38:46
30517	1	52		1	30	2014-04-01 07:40:10
30518	1	33		1	30	2014-04-01 07:40:12
30519	1	58		1	30	2014-04-01 07:40:53
30520	1	23		1	30	2014-04-01 07:41:11
30521	1	70		1	30	2014-04-01 07:41:13
30522	1	4		1	30	2014-04-01 07:43:24
30523	1	73		1	30	2014-04-01 07:43:28
30524	1	9		1	30	2014-04-01 07:44:52
30525	1	49		1	30	2014-04-01 07:47:09
30526	1	18		1	30	2014-04-01 07:47:46
30527	1	48		1	30	2014-04-01 07:50:06
30528	1	65		1	30	2014-04-01 07:50:09
30529	1	59		1	30	2014-04-01 07:50:13
30530	1	43		1	30	2014-04-01 07:51:08
30531	1	54		1	30	2014-04-01 07:51:31
30532	1	6		1	30	2014-04-01 07:53:41
30533	1	64		1	30	2014-04-01 07:54:48
30534	1	63		1	30	2014-04-01 07:54:56
30535	1	55		1	30	2014-04-01 07:55:42
30536	1	57		1	30	2014-04-01 08:00:00
30537	1	12		1	30	2014-04-01 08:00:52
30538	1	72		1	30	2014-04-01 08:00:54
30539	1	67		1	30	2014-04-01 08:13:58
30540	1	69		1	30	2014-04-01 08:19:36
30541	1	41		1	30	2014-04-01 08:20:53
30542	1	20		1	30	2014-04-01 08:42:21
30543	1	17		1	30	2014-04-01 08:51:32
30544	1	68		1	30	2014-04-01 09:23:15
30545	1	57		1	30	2014-04-01 12:00:40
